Model,DPO4032
Firmware Version,2.30

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.4
Sample Interval,0.0004
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,-0.113
Vertical Scale,0.01
Label,
TIME,CH1
-2.5440e-01,-0.112658
-2.5400e-01,-0.113306
-2.5360e-01,-0.112714
-2.5320e-01,-0.113103
-2.5280e-01,-0.113392
-2.5240e-01,-0.113242
-2.5200e-01,-0.113252
-2.5160e-01,-0.113195
-2.5120e-01,-0.113608
-2.5080e-01,-0.112159
-2.5040e-01,-0.113122
-2.5000e-01,-0.113067
-2.4960e-01,-0.113598
-2.4920e-01,-0.113661
-2.4880e-01,-0.11367
-2.4840e-01,-0.113017
-2.4800e-01,-0.112898
-2.4760e-01,-0.112766
-2.4720e-01,-0.112614
-2.4680e-01,-0.113264
-2.4640e-01,-0.113725
-2.4600e-01,-0.112344
-2.4560e-01,-0.112667
-2.4520e-01,-0.112486
-2.4480e-01,-0.113717
-2.4440e-01,-0.112689
-2.4400e-01,-0.113386
-2.4360e-01,-0.113133
-2.4320e-01,-0.11255
-2.4280e-01,-0.112825
-2.4240e-01,-0.112563
-2.4200e-01,-0.112569
-2.4160e-01,-0.113044
-2.4120e-01,-0.1136
-2.4080e-01,-0.112692
-2.4040e-01,-0.113144
-2.4000e-01,-0.113013
-2.3960e-01,-0.113069
-2.3920e-01,-0.112878
-2.3880e-01,-0.113197
-2.3840e-01,-0.113131
-2.3800e-01,-0.112159
-2.3760e-01,-0.113328
-2.3720e-01,-0.112648
-2.3680e-01,-0.112942
-2.3640e-01,-0.112231
-2.3600e-01,-0.112683
-2.3560e-01,-0.113556
-2.3520e-01,-0.112845
-2.3480e-01,-0.113242
-2.3440e-01,-0.112936
-2.3400e-01,-0.113133
-2.3360e-01,-0.113186
-2.3320e-01,-0.112983
-2.3280e-01,-0.113425
-2.3240e-01,-0.11305
-2.3200e-01,-0.113261
-2.3160e-01,-0.112989
-2.3120e-01,-0.11308
-2.3080e-01,-0.113144
-2.3040e-01,-0.113005
-2.3000e-01,-0.11305
-2.2960e-01,-0.111881
-2.2920e-01,-0.112567
-2.2880e-01,-0.112583
-2.2840e-01,-0.113242
-2.2800e-01,-0.112997
-2.2760e-01,-0.112603
-2.2720e-01,-0.112872
-2.2680e-01,-0.112486
-2.2640e-01,-0.113403
-2.2600e-01,-0.112969
-2.2560e-01,-0.113067
-2.2520e-01,-0.112756
-2.2480e-01,-0.112559
-2.2440e-01,-0.112966
-2.2400e-01,-0.113472
-2.2360e-01,-0.113316
-2.2320e-01,-0.112498
-2.2280e-01,-0.113444
-2.2240e-01,-0.112994
-2.2200e-01,-0.112519
-2.2160e-01,-0.113077
-2.2120e-01,-0.113136
-2.2080e-01,-0.112503
-2.2040e-01,-0.113553
-2.2000e-01,-0.112777
-2.1960e-01,-0.113872
-2.1920e-01,-0.113113
-2.1880e-01,-0.113092
-2.1840e-01,-0.11272
-2.1800e-01,-0.112842
-2.1760e-01,-0.113598
-2.1720e-01,-0.112986
-2.1680e-01,-0.112969
-2.1640e-01,-0.113066
-2.1600e-01,-0.112995
-2.1560e-01,-0.113297
-2.1520e-01,-0.1131
-2.1480e-01,-0.112994
-2.1440e-01,-0.112636
-2.1400e-01,-0.113191
-2.1360e-01,-0.113263
-2.1320e-01,-0.112541
-2.1280e-01,-0.113284
-2.1240e-01,-0.112528
-2.1200e-01,-0.113445
-2.1160e-01,-0.112323
-2.1120e-01,-0.112353
-2.1080e-01,-0.112978
-2.1040e-01,-0.113475
-2.1000e-01,-0.113739
-2.0960e-01,-0.112595
-2.0920e-01,-0.112373
-2.0880e-01,-0.113164
-2.0840e-01,-0.112745
-2.0800e-01,-0.112547
-2.0760e-01,-0.112023
